epoch,train_loss,train_acc,test_loss,test_acc
1,1.6959664139175414,36.646,1.4134922882080079,48.58
2,1.2268933106994628,55.592,1.209366849899292,56.43
3,0.956973094367981,65.998,1.1128208850860595,62.13
4,0.8033300363159179,71.88,0.9306811970710754,68.96
5,0.712769836769104,75.408,0.850693843793869,71.08
6,0.6665571922683716,77.092,1.0022650409698486,69.48
7,0.6363725783157349,78.188,1.1510477312088012,66.16
8,0.6090526948356628,79.158,0.7459033355236053,76.3
9,0.5912832606315612,79.51,0.7485140684127808,74.25
10,0.5751791310119629,80.31,0.8327964435577393,72.79
