epoch,train_loss,train_acc,test_loss,test_acc
1,2.2109045265197755,15.258,2.240620793533325,13.91
2,2.0167274813461304,21.046,2.2750099342346193,19.87
3,1.907827157020569,26.854,1.9544607330322266,24.79
4,1.847900571937561,30.012,1.8085771263122559,31.5
5,1.8030882850646972,31.726,1.879212074279785,28.94
6,1.7689132904815674,32.96,1.8049916122436525,33.1
7,1.7415274335098267,34.346,1.9400501846313476,29.24
8,1.704995703163147,35.082,1.8330114978790284,30.73
9,1.6676470874786378,37.026,2.0202878997802736,30.89
10,1.6200007190704346,39.184,1.6944094635009765,36.3
